url,title,price_czk,source,discount_pct,scraped_at
https://elektro.bazos.cz/inzerat/222840573/garmin-fenix-8-47-mm-amoled-sapphire.php,Garmin Fénix 8 47 mm AMOLED Sapphire: 15 900,15900,bazos,38.8,2026-08-22T06:41:49.681773+00:00
https://mobil.bazos.cz/inzerat/222878482/garmin-fenix-8-sapphire-solar-47mm.php,Garmin Fenix 8 Sapphire Solar 47mm: 17 990,17990,bazos,30.8,2026-08-23T06:42:33.300811+00:00
https://obleceni.bazos.cz/inzerat/222867732/koupim-novy-orig-garmin-quickfit-26mm-reminek-z-fenix-8.php,Koupím NOVÝ orig Garmin QuickFit 26mm řemínek z Fenix 8: 111,111,bazos,99.6,2026-08-23T06:42:33.300831+00:00
https://elektro.bazos.cz/inzerat/222931231/garmin-fenix-8-amoled-safir-a-titan.php,"Garmin Fenix 8 AMOLED, safír a titan: 12 999",12999,bazos,50.0,2026-08-24T07:01:00.287211+00:00
https://elektro.bazos.cz/inzerat/222928409/garmin-fenix-8-47-mm-amoled-sapphire.php,Garmin Fénix 8 47 mm AMOLED Sapphire: 16 900,16900,bazos,35.0,2026-08-24T07:01:00.287230+00:00
https://mobil.bazos.cz/inzerat/222918927/garmin-fenix-8-pro-47mm.php,Garmin Fenix 8 Pro 47mm: 17 000,17000,bazos,34.6,2026-08-24T07:01:00.287268+00:00
https://mobil.bazos.cz/inzerat/222915092/garmin-fenix-8-51mm-sapphire-amoled-titan.php,Garmin Fenix 8 51mm sapphire amoled titan: 15 999,15999,bazos,38.4,2026-08-24T07:01:00.287275+00:00
https://mobil.bazos.cz/inzerat/222983503/apple-watch-ultra-3-top-zaruka.php,Apple Watch Ultra 3 - TOP (záruka): 19 000,19000,bazos,26.9,2026-08-25T06:50:44.426141+00:00
https://ostatni.bazos.cz/inzerat/222977429/silikonovy-pasek-pro-garmin-hodinky-26mm.php,Silikonový řemínek pro Garmin hodinky 26mm: 199,199,bazos,99.2,2026-08-25T06:50:44.426157+00:00
https://elektro.bazos.cz/inzerat/222966798/garmin-reminek-pasek-22mm-originalni.php,Garmin řemínek / pásek QuickFit 22mm originální: 600,600,bazos,97.7,2026-08-25T06:50:44.426161+00:00
